Предисловие 	 page 1
10.6. Реализация русских согласных в составе заимствований в кабардино-черкесском языке 	 page 41
10.7. Отсутствие фонемы К в кабардино-черкесском языке и ее реализация в заимствованиях 	 page 43
10.8. Суперация нехарактерных комплексов согласных 	 page 45
10.9. Другие звуковые изменения заимствованных слов 	 page 45
11. Фонетический тип корня, основы 	 page 48
12. Слог 	 page 48
13. Орфоэпия 	 page 49
Глава третья. МОРФОЛОГИЯ 	 page 50
1. Общая характеристика морфологической системы 	 page 50
2. Структура основы 	 page 53
2.1. Фонетическая структура основы 	 page 53
2.2. Морфологическая структура основы 	 page 54
2.2.1. Членимые и нечленимые основы 	 page 54
2.2.2. Производные и непроизводные основы 	 page 54
2.2.3. Прерывистые и непрерывистые основы 	 page 55
2.2.4. Нейтральные и ненейтральные основы 	 page 55
2.2.5. Свободные и несвободные основы 	 page 56
2.3. Дифференциация именных и глагольных основ 	 page 57
2.4. Способы образования основ 	 page 60
3. Имя существительное 	 page 61
3.1. Основные особенности 	 page 61
3.2. Категория определенности и неопределенности 	 page 64
3.3. Категория падежа 	 page 65
3.3.1. Склонение собственных имен существительных 	 page 66
3.3.2. Функции падежей 	 page 67
v
3.3.2.2. Эргативный падеж употребляется для выражения: 	 page 67
3.3.2.3. Послеложный падеж выражает: 	 page 67
3.4. Категория числа 	 page 68
3.4.1. Общая характеристика 	 page 68
3.4.2. Существительные, употребляемые преимущественно в единственном числе 	 page 71
3.4.3. Существительные, употребляемые только во множественном числе 	 page 72
3.4.4. Репрезентативное множество 	 page 72
3.5. Категория притяжательности 	 page 73
3.5.1. Лично-притяжательные формы 	 page 73
3.5.2. Относительно-притяжательная форма 	 page 74
3.6. Категория союзности 	 page 75
3.6.1. Суффикс -и (-и….-и) 	 page 76
3.6.2. Суффикс -рэ (-рэ…-рэ) 	 page 76
3.7.1. Образование сложных слов 	 page 77
3.7.2. Аффиксальное словообразование имен существительных 	 page 81
3.7.3. Образование имен существительных путем субстантивации других частей речи 	 page 83
4. Местоимение 	 page 83
4.1. Типы местоимений 	 page 83
4.2. Личные местоимения 	 page 84
4.3. Притяжательные местоимения 	 page 84
4.4. Указательные местоимения 	 page 85
4.5. Вопросительные местоимения 	 page 86
4.6. Определительные местоимения 	 page 86
4.7. Неопределенные местоимения 	 page 87
5. Имя прилагательное 	 page 87
5.1. Имя прилагательное как часть речи 	 page 87
5.2. Качественные прилагательные 	 page 87
5.2.1. Грамматические признаки качественных прилагательных 	 page 87
5.2.2. Степени сравнения качественных имен прилагательных 	 page 88
5.2.2.1. Сравнительная степень 	 page 88
5.2.2.2. Усилительные формы сравнительной степени 	 page 89
5.2.2.3. Уменьшительные формы сравнительной степени 	 page 90
5.2.3. Превосходная степень 	 page 90
5.2.3.1. Простые формы превосходной степени 	 page 90
5.2.3.2. Сложные формы превосходной степени 	 page 91
5.2.4. Формы оценки качественных прилагательных 	 page 92
vi
5.3. Относительные имена прилагательные 	 page 93
5.4. Склонение имен прилагательных 	 page 94
5.5. Переход причастий в имена прилагательные 	 page 96
5.6. Словообразование имен прилагательных 	 page 96
5.6.1. Суффиксальный способ 	 page 96
5.6.1.1. Суффиксы, образующие качественные имена прилагательные от основ имен существительных 	 page 97
5.6.1.2. Суффиксы, образующие качественные имена прилагательные от глагольных основ 	 page 98
5.6.1.3. Малопродуктивные суффиксы 	 page 98
5.6.1.5. Суффиксы, образующие новые имена прилагательные от основ прилагательных 98
5.6.1.6. Суффиксы, образующие относительные имена прилагательные от основ числительных и наречий 	 page 98
5.6.2. Префиксальный способ 	 page 99
5.6.3. Префиксально-суффиксальный способ 	 page 99
5.6.4. Способ основосложения 	 page 99
5.6.4.1. Продуктивные типы 	 page 99
5.6.4.2. Малопродуктивные типы 	 page 100
5.6.5. Заимствованные имена прилагательные 	 page 100
6. Имя числительное 	 page 101
6.1. Общая характеристика 	 page 101
6.2. Система счисления и лексические единицы 	 page 101
6.3. Образование количественных числительных 	 page 104
6.4. Составные количественные числительные образуются сочетанием простых и 	 page 104
6.5. Особенности сочетания количественных числительных с существительными 	 page 105
6.6. Дробные числительные 	 page 105
6.7. Разделительные числительные 	 page 106
6.8. Кратные числительные 	 page 106
6.9. Собирательные формы 	 page 107
6.10. Порядковые числительные 	 page 107
6.11. О «слоевых» числительных 	 page 108
7. Аблаут в именном словообразовании 	 page 108
8. Глагол 	 page 112
8.1. Общая характеристика полисинтетизма глагола 	 page 112
8.2. Переходные и непереходные глаголы 	 page 113
8.2.1. Транспозиция непереходных глаголов в переходные 	 page 114
8.2.2. Нейтральные (диффузные) глаголы 	 page 115
vii
8.3. Динамические и статические глаголы 	 page 115
8.4. Финитные и инфинитные формы глагола 	 page 118
8.5. Категория лица 	 page 120
8.5.1. Формы проявления полиперсонализма. 	 page 120
8.5.2. Омонимия личных форм глагола 	 page 121
8.5.3. Обычные, возможные и невозможные формы многоличного глагола. 	 page 122
8.6. Глагольные парадигмы1 	 page 124
8.6.1. Одноличные непереходные глаголы 	 page 124
8.6.1.1. Предварительные замечания. 	 page 124
8.6.1.2. Бесприставочные динамические глаголы типа джэгу-н «играть» (табл.1) 	 page 124
8.6.1.3. Бесприставочные динамические глаголы типа кIуэ-н «идти» (табл. 2) 	 page 125
8.6.1.4.Статические глаголы типа щысы-н «сидеть» (табл.3) 	 page 126
8.6.1.5. Динамические глаголы типа щос «он сидит» (табл. 4) 	 page 126
8.6.1.6. Глаголы с направительным префиксом (табл. 5) 	 page 127
8.6.2. Двухличные непереходные глаголы 	 page 128
8.6.2.1 Структура основы двухличных непереходных глаголов 	 page 128
8.6.2.2. Способы преобразования одноличных непереходных глаголов в двухличные непереходные 	 page 129
8.6.2.3. Глаголы типа е-жьэ-н «ждать» (табл. 6) 	 page 129
8.6.2.4. Глаголы типа хуэ-кIуэ-н «идти для кого-либо» (табл. 8) 	 page 132
8.6.2.5. Отсутствие дифференциации по лицам объекта 	 page 134
8.6.3. Трехличные непереходные глаголы 	 page 135
8.6.3.2. Распределение морфем трехличных непереходных глаголов. 	 page 135
8.6.3.3. Ущербность парадигмы трехличных непереходных глаголов. 	 page 136
8.6.3.4. Расхождения между адыгскими языками в построении парадигмы трехличных непереходных глаголов 	 page 136
8.6.3.5. Парадигмы трехличных непереходных глаголов типа худэкIуэ-н «идти с ними ради него» (табл. 9) 	 page 137
8.6.3.6. Парадигмы трехличного непереходного глагола типа дежьэ-н «ждать с кем-л.» (таб. 10) 	 page 138
8.6.4. Четырехличные непереходные глаголы 	 page 140
8.6.4.1. Строение четырехличных непереходных глаголов. 	 page 140
8.6.4.2. Иррегулярность образования форм четырехличных непереходных глаголов. 	 page 140
8.6.4.3. Четырехличный непереходный глагол предполагает наличие субъекта и трех косвенных объектов. 	 page 141
8.6.5. Одноличные переходные глаголы 	 page 141
8.6.6. Двухличные переходные глаголы 	 page 141
viii
8.6.6.1. Простые двухличные переходные глаголы 	 page 141
8.6.6.2. Парадигмы двухличных переходных глаголов типа хьын «нести» (табл. 11,12) 	 page 142
8.6.6.3. Двухличные переходные глаголы от производных основ. 	 page 144
8.6.6.4. Парадигмы двухличных переходных глаголов с аффиксами направления и каузатива (табл. 13) 	 page 145
8.6.7. Трехличные переходные глаголы 	 page 146
8.6.7.1. Простые трехличные переходные глаголы 	 page 146
8.6.7.2. Парадигмы трехличных переходных глаголов типа еты-н «дать ему кого-, что-л.» (табл. 14) 	 page 147
8.6.7.3. Позиционная обусловленность полноты парадигмы. 	 page 154
8.6.8. Четырехличные и пятиличные переходные глаголы 	 page 155
8.7. Категория времени 	 page 161
8.7.1. Предварительные замечания. 	 page 161
8.7.2. Настоящее время. 	 page 161
8.7.3. Будущее I. 	 page 162
8.7.4. Будущее II (категорическое). 	 page 163
8.7.5. Перфект I. 	 page 163
8.7.6. Перфект II 	 page 163
8.7.7. Имперфект. 	 page 163
8.7.8. Плюсквамперфект I. 	 page 164
8.7.9. Плюсквамперфект II 	 page 164
8.7.10. Аорист. 	 page 164
8.8. Категория наклонения 	 page 167
8.8.2. Изъявительное наклонение. 	 page 168
8.8.3. Условное наклонение. 	 page 168
8.8.4. Сослагательное наклонение. 	 page 170
8.8.5. Предположительное наклонение. 	 page 170
8.8.6. Желательное наклонение. 	 page 171
8.8.7. Повелительное наклонение. 	 page 172
8.8.8. Наклонение удивления. 	 page 173
8.9. Отрицательные формы 	 page 174
8.10. Вопросительные формы 	 page 183
8.10.1. Интонационный способ выражения вопроса 	 page 183
8.10.2. Аффиксальный способ выражения вопроса 	 page 183
8.10.3. Выражение вопроса с помощью частиц 	 page 184
8.11. Способы глагольного словообразования 	 page 184
8.11.1. Порядок распределения аффиксов глагольного словообразования 	 page 187
ix
8.11.2. Префиксация 	 page 188
8.11.3. Суффиксация 	 page 189
8.11.4. Аранжировка деривационных морфем глагола 	 page 189
8.12. Фактитивные глаголы 	 page 190
8.13. Категория каузатива 	 page 191
8.14. Категория союзности 	 page 192
8.15. Категория совместности 	 page 193
8.16. Категория взаимности 	 page 194
8.17. Категория версии 	 page 195
8.17.1. Формы объектной версии 	 page 195
8.17.1.1. Версия с аффиксом хуэ- 	 page 195
8.17.1.2. Версия с аффиксом фIэ- 	 page 196
8.17.2. Субъектная версия 	 page 197
8.18. Категория потенциалиса (возможности) 	 page 197
8.18.2. Суффиксальный потенциалис 	 page 198
8.18.3. Описательная форма потенциалиса 	 page 199
8.19. Категория непроизвольности 	 page 199
8.20. Направительные и местные префиксы (превербы) 	 page 199
8.20.2. Об основной форме преверба 	 page 200
8.20.3. Направительные превербы 	 page 200
8.20.4. Местные превербы 	 page 201
8.20.5. Сложные префиксы 	 page 207
8.21. Аблаут в глагольном словообразовании 	 page 208
8.21.1. Модели с локальными и направительными превербами в сочетании с суффиксом -кI, маркированные огласовкой ы в корневой морфеме 	 page 208
8.21.2. Модели с локальными и направительными превербами в сочетании с суффиксом -хь 	 page 215
8.21.2.1. Модели, маркированные огласовкой ы в корневой морфеме 	 page 215
8.21.2.2. Модели с нулевой огласовкой 	 page 218
8.21.3. Беспрефиксальные модели, содержащие направительные суффиксы кI, -х, -лI, -с, -жьэ 	 page 220
9. Отглагольные образования 	 page 222
9.1.Причастие 	 page 222
9.1.1. Разряды причастий 	 page 222
9.1.2. Образование причастий 	 page 223
9.1.2.1. Образование субъектных и объектных причастий 	 page 223
9.1.2.2. Образование обстоятельственных и орудных (инструментальных) причастий 	 page 226
x
9.1.3. Словоизменение причастий 	 page 229
9.1.3.1. Изменение по лицам 	 page 229
9.1.3.2. Изменение по временам 	 page 240
9.1.3.3. Склонение причастий 	 page 241
9.2. Деепричастие 	 page 243
9.2.1. Деепричастие с суффиксом -у//-уэ 	 page 244
9.2.2. Деепричастие с суффиксом -рэ 	 page 245
9.2.3. Грамматика деепричастия 	 page 245
9.3. Инфинитив1 	 page 246
9.4. Масдар 	 page 247
10. Наречие 	 page 248
10.1. Общая характеристика 	 page 248
10.2. Корневые наречия 	 page 250
10.3. Производные наречия 	 page 251
10.4. Образование наречий 	 page 252
10.4.1. Образование простых производных наречий от качественных прилагательных 	 page 252
10.4.2. Образование простых производных наречий от местоименных основ 	 page 253
10.4.3. Образование простых производных наречий от имен существительных 	 page 254
10.4.4. Образование простых производных наречий от имен числительных 	 page 255
10.4.5. Отглагольные наречия 	 page 255
10.4.6. Образование простых производных наречий от основ непроизводных наречий 	 page 256
10.4.7. Сложные производные наречия 	 page 257
10.4.7.1. Образование сложных наречий путем основосложения 	 page 257
10.4.7.2. Образование сложных наречий путем редупликации одной основы или разных основ 	 page 258
10.4.7.3. Образование сложных наречий путем удвоения одной основы 	 page 258
10.4.8. Идиоматические словосочетания, употребляемые в значении наречия 	 page 259
10.5. Разряды наречий по значению (семантическая квалификация) 	 page 259
10.5.1. Определительные наречия 	 page 259
10.5.1.1. Определительные качественные наречия 	 page 259
10.5.1.2. Определительные количественные наречия 	 page 259
10.5.2. Обстоятельственные наречия 	 page 260
10.5.2.1. Наречия времени 	 page 260
10.5.2.2. Наречия места 	 page 261
10.5.3. Наречия причины 	 page 262
10.5.4. Наречия цели 	 page 262
xi
11. Служебные слова 	 page 262
11.1. Послелоги 	 page 264
11.1.1. Морфологическая характеристика послелогов 	 page 264
11.1.2. Грамматическая характеристика послелогов 	 page 265
11.2. Союзы 	 page 270
11.2.1. Сочинительные союзы 	 page 271
11.2.2. Подчинительные союзы 	 page 272
11.3. Частицы 	 page 273
11.3.1. Значения частиц 	 page 274
12. Междометия 	 page 279
12.1.Разряды междометий по значению 	 page 279
12.2. Особенности в употреблении некоторых междометий 	 page 280
12.3. Мимео-изобразительные слова 	 page 281
Глава четвертая. СИНТАКСИС 	 page 282
1. Предварительные замечания 	 page 282
2. Словосочетания 	 page 282
2.1. Главный член – существительное, зависимый – числительное 	 page 282
2.2. Главный член – существительное, зависимый – прилагательное 	 page 284
2.3. Главный и зависимый члены – существительные 	 page 284
2.4. Главный и зависимый члены связаны посессивным элементом 	 page 284
2.5. Главный член – существительное, зависимый – местоимение 	 page 285
2.6. Словосочетания, состоящие из существительного и причастия 	 page 285
2.7. Главный член – глагол, зависимый – существительное 	 page 286
2.8. Главный член – глагол, зависимый – наречие 	 page 287
2.9. Словосочетания с послелогами 	 page 287
3. Простое предложение 	 page 288
3.1. К вопросу о грамматической природе простого предложения в кабардино-черкесском языке 	 page 288
3.2. Типы кабардино-черкесских предложений по коммуникативной целеустановке 	 page 291
3.2.1. Повествовательные предложения 	 page 291
3.2.2. Побудительные предложения 	 page 293
3.2.3. Оптативные предложения 	 page 295
3.2.4. Вопросительные предложения 	 page 296
3.3. Способы связи строевых компонентов предложения 	 page 301
3.4. Структурный состав нераспространенного предложения О критериях выделения членов предложения 	 page 307
3.5. Сказуемое 	 page 310
xii
3.5.1. Простое сказуемое 	 page 311
3.5.2. Составное сказуемое 	 page 316
3.5.3. Сложное сказуемое 	 page 317
3.5.4. Синтаксические обороты в позиции сложного сказуемого 	 page 317
3.5.5. Словосочетания в синтаксической позиции сложного сказуемого 	 page 319
3.6. Подлежащее 	 page 320
3.6.1. Выражение подлежащего отдельными частями речи 	 page 320
3.6.2. Синтаксические обороты в позиции подлежащего 	 page 324
3.6.3. Словосочетания в позиции подлежащего 	 page 324
3.7. Распространение простого предложения 	 page 326
3.8. Дополнение 	 page 326
3.8.1. Дополнение в форме именительного падежа 	 page 328
3.8.2. Дополнение в форме эргативного падежа 	 page 329
3.8.3. Дополнение в форме послеложного падежа 	 page 330
3.8.4. Дополнение в форме обстоятельственного падежа 	 page 331
3.9. Определение 	 page 332
3.9.1. Качественное определение в постпозиции 	 page 334
3.9.2. Качественное определение в препозиции 	 page 335
3.9.3. Об относительном определении в кабардино-черкесском языке 	 page 336
3.9.4. Притяжательно-относительные определения 	 page 336
3.9.5. Предметно-относительные определения 	 page 339
3.9.6. Указательно-относительные определения 	 page 341
3.9.7. Определения-числительные 	 page 342
3.9.8. Глагольно-относительные определения 	 page 345
3.9.9. Причастно-относительные определения 	 page 346
3.9.10. Распространенное определение 	 page 348
3.10. Обстоятельства 	 page 352
3.10.1. Обстоятельства с локальным значением 	 page 353
3.10.2. Обстоятельства с темпоральным значением 	 page 355
3.10.3. Обстоятельства со значением образа действия 	 page 358
3.10.4. Обстоятельства со значениями меры и степени 	 page 361
3.10.5. Обстоятельства со значением причины 	 page 362
3.10.6. Обстоятельства со значением цели 	 page 363
3.11. К вопросу об основных конструкциях кабардино-черкесского предложения 	 page 364
3.11.1. Номинативная конструкция предложения 	 page 364
3.11.2. Эргативная конструкция предложения 	 page 365
xiii
3.11.3. 	 page 366
4. Словопорядок в простом предложении 	 page 369
4.1. Базисный словопорядок 	 page 370
4.2. Изменение базового порядка 	 page 371
4.3. Роль маркеров абсолютива и эргатива в изменении базисного словопорядка 	 page 372
4.4. Семантика S и О и словопорядок 	 page 372
4.5. Словопорядок в вопросительном предложении 	 page 373
4.6. Порядок слов в ответном предложении 	 page 374
5. Сложное предложение 	 page 374
5.1. Сложносочиненные предложения 	 page 377
5.1.1. Сложносочиненные предложения с соединительными союзами 	 page 379
5.1.2. Сложносочиненные предложения с союзным суффиксом -и «и» 	 page 381
5.1.3. Сложносочиненные предложения с противительно-сопоставительными союзами 	 page 382
5.1.3.1. Сложносочиненные предложения с союзами армыхъумэ, армырамэ «иначе, не то, в противном случае» 	 page 382
5.1.3.2. Сложносочинённые предложения с союзом (или союзным аналогом) абы къыхэкIкIэ (абы къыхэкIыу) «поэтому» 	 page 382
5.1.3.3. Сложносочинённые предложения с союзом арщхьэкIэ «но» 	 page 382
5.1.3.4. Сложносочинённые предложения с союзом атIэ «а» 	 page 383
5.1.3.5. Сложносочиненные предложения с союзом ауэ «но» 	 page 384
5.1.3.6. Сложносочинённые предложения с союзом итIани «но, однако, несмотря на» 385
5.1.4. Сложносочиненные предложения с разделительными союзами 	 page 386
5.1.4.1. Сложносочинённые предложения с разделительным союзом е «или, либо» 	 page 386
5.1.4.2. Сложносочинённые предложения с союзом зэ	 pageзэ / зэм	 pageзэм «то	 page то» 	 page 387
5.1.4.3. Сложносочинённые предложения с союзом хьэмэ / хьэмэрэ и его фонетическим вариантом хьэмрэ «или» 	 page 387
5.2. Бессоюзные сложные предложения 	 page 387
5.3. Вопрос о сложноподчиненных предложениях в кабардино-черкесском языке 	 page 391
6. Способы передачи чужой речи 	 page 393
6.1. Прямая речь 	 page 393
6.2. Косвенная речь 	 page 394
7. Место инфинитных конструкций в синтаксической системе кабардино-черкесского языка 	 page 395
7.1. Изъяснительные инфинитные конструкции 	 page 397
7.1.1. Изъяснительные инфинитные конструкции, выполняющие функцию дополнения 	 page 398
7.2. Определительные инфинитные конструкции 	 page 398
7.3. Обстоятельственные инфинитные конструкции 	 page 398
7.3.1. Обстоятельственные инфинитные конструкции со значением обстоятельства места 399
xiv
7.3.2. Обстоятельственные инфинитные конструкции со значением обстоятельства времени 	 page 399
7.3.3. Обстоятельственные инфинитные конструкции со значением цели 	 page 400
7.3.4. Обстоятельственные инфинитные конструкции со значением следствия 	 page 401
7.3.5. Обстоятельственные инфинитные конструкции со значением сравнения или обстоятельства образа действия 	 page 402
7.3.6. Обстоятельственные инфинитные конструкции с уступительным значением 	 page 403
Сокращения 	 page 404
Том II 	 page 407
Глава первая. ЛЕКСИКА 	 page 407
Введение 	 page 407
I. СЕМАСИОЛОГИЯ 	 page 409
1. СОВРЕМЕННАЯ ЛЕКСИКА КАК СИСТЕМА И ЕЕ СЕМАСИОЛОГИЧЕСКАЯ ХАРАКТЕРИСТИКА 	 page 410
1.1. Проблема системности лексики и типология лексических микросистем языка 	 page 410
2. Лексико-грамматическая система 	 page 416
3. Лексико-тематическая система 	 page 419
4. ЛЕКСИКО-СЕМАНТИЧЕСКАЯ СИСТЕМА 	 page 426
4.1. Предварительные замечания 	 page 426
4.2. Полисемия 	 page 427
4.3. Омонимия 	 page 429
4.4. Паронимия 	 page 431
4.5. Синонимия 	 page 433
4.6. Антонимия 	 page 436
4.7. Семантическое поле 	 page 439
4.8. Ассоциативное поле 	 page 440
4.9. Лексико-фразеологическая группа 	 page 442
4.10. Лексико-деривационная группа 	 page 443
4.11. Гипонимия, или лексико-семантическая группа, объединенная родо-видовыми отношениями 	 page 446
4.12. Конверсия, или лексико-семантическая группа, объединенная обратными отношениями 	 page 449
4.13. Лексико-семантическая группа, объединенная синтагматическими отношениями 	 page 451
5. Лексико-стилистическая система 	 page 461
5.1. Нейтральная лексика 	 page 461
5.2. Лексика стиля устной речи 	 page 461
5.3. Фольклорная лексика 	 page 462
5.4. Лексика книжного стиля речи 	 page 462
xv
5.5. Научно-педагогическая лексика 	 page 463
5.6. Газетно-публицистическая лексика 	 page 463
II. ЛЕКСИКОЛОГИЯ 	 page 466
1. ИСТОРИЧЕСКОЕ ФОРМИРОВАНИЕ И СПЕЦИФИКА ФУНКЦИОНИРОВАНИЯ ЯЗЫКА 	 page 466
1.1. Принципы классификации словарного состава языка 	 page 466
1.2. Пути развития лексики кабардино-черкесского языка 	 page 467
2. ЭТИМОЛОГИЧЕСКАЯ КЛАССИФИКАЦИЯ ЛЕКСИКИ 	 page 467
2.1. ИСКОННАЯ ЛЕКСИКА 	 page 467
2.1.1. 0бщекавказские и общесеверокавказские слова 	 page 468
2.1.2. Общеадыго-абхазские слова 	 page 468
2.1.3. Общеадыгские слова 	 page 470
2.1.4. Собственно кабардино-черкесские слова 	 page 473
2.2.заимствованная лексика 	 page 475
2.2.1. Понятие о заимствованной лексике 	 page 475
2.2.2. Заимствования из семитских, иранских и тюркских языков 	 page 475
2.2.3. Заимствованная лексика из русского языка 	 page 477
2.2.4. К вопросу об аббревиации 	 page 480
2.2.5. О соотношении исконной и заимствованной лексики 	 page 480
2.2.6. География адыгских слов, или адыгская лексика в других языках 	 page 482
2.2.7. ТИПЫ ОСВОЕНИЯ ЗАИМСТВОВАННОЙ ЛЕКСИКИ 	 page 485
2.2.7.1. Семантические изменения в заимствованиях 	 page 485
2.2.7.2. Лексическое освоение заимствований 	 page 488
2.2.7.3. Приспособление исконной лексики к передаче значений русских слов (изменение семантики кабардино-черкесских слов под влиянием русского языка) 	 page 489
2.2.7.4. Основные последствия взаимодействия русского и кабардино-черкесского языков 	 page 489
2.3.ЛЕКСИКА С ТОЧКИ ЗРЕНИЯ ЕЕ АКТИВНОГО И ПАССИВНОГО СОСТАВА 	 page 490
2.3.1. Понятие об активной и пассивной лексике 	 page 490
2.4.ЛЕКСИКА С ТОЧКИ ЗРЕНИЯ СФЕРЫ УПОТРЕБЛЕНИЯ 	 page 494
2.4.1. Общеупотребительная лексика и лексика, ограниченная сферой употребления 	 page 494
2.4.2. Диалектная лексика и ее локализация 	 page 494
2.4.3. Профессиональная и терминологическая лексика 	 page 494
2.4.4. Жаргонная и арготическая лексика 	 page 496
2.5. ИЗМЕНЕНИЕ И РАЗВИТИЕ ЛЕКСИКИ КАБАРДИНО-ЧЕРКЕССКОГО ЯЗЫКА В XX в. 	 page 499
2.5.1. Предварительные замечания 	 page 499
2.5.2. Изменения в лексике в первый период (1917 – середина 80-х гг.) 	 page 500
2.5.2.1. Создание новых слов и терминов 	 page 501
xvi
2.5.2.2. Архаизация и выпадение слов из языка 	 page 501
2.5.2.3. Изменение и развитие семантики слов 	 page 501
2.5.2.4. Проникновение слов и выражений из других языков 	 page 501
2.5.3. Изменения в лексике во второй период (с середины 80-х по настоящее время) 	 page 502
III. Лексикография 	 page 504
1. Зарождение и развитие кабардино-черкесской лексикографии 	 page 504
1.1 Истоки кабардино-черкесской лексикографии 	 page 504
1.2. Кабардино-черкесская лексикография XIX в. 	 page 504
1.3. Лексикографическая деятельность Ш.Б. Ногмова 	 page 504
1.4. «Русско-кабардинский словарь» Л.Г. Лопатинского (1890) 	 page 505
1.5. «Кабардинско-венгерско-латинский словарь» Г. Балинта (1904) и его место в адыгской лексикографии 	 page 505
1.6. Кабардино-черкесская лексикография 1920-1940 гг. 	 page 506
1.7. Новый этап кабардино-черкесской лексикографии (1950-е-2000-е гг) 	 page 507
IV. ЛЕКСИКА И КУЛЬТУРНЫЕ КОНЦЕПТЫ 	 page 511
1.ПРЕДВАРИТЕЛЬНЫЕ ЗАМЕЧАНИЯ 	 page 511
2. Концепт «напэ» (совесть) 	 page 512
3. Концепт «джэгу»(игра) 	 page 513
4. Концепт «псэ» (душа) 	 page 515
5. Концепты «пространство» и «время» 	 page 516
6. Бинарная пространственная оппозиция концептов «ижь-сэмэгу» (правый-левый) 	 page 520
7. Бинарные оппозиции с концептом «щхьэ» (голова) 	 page 522
8. Концепт «гу» (сердце) 	 page 523
9. Цветовые концепты 	 page 525
9.2. Голубой – синий 	 page 526
9.4. Красный 	 page 526
9.5. Названия «смешанных цветов» 	 page 527
9.5.1. Коричневый 	 page 527
10. Концепт «дахэ» 	 page 528
11. Концепт «зауэ» (война) 	 page 529
Глава вторая. ФРАЗЕОЛОГИЯ 	 page 531
I. Структурно-семантическая характеристика 	 page 531
1. Предварительные замечания 	 page 531
2. Семантика и структура ФЕ 	 page 531
3. Номинативная и оценочная семантика ФЕ 	 page 533
4. Образность и информативность ФЕ 	 page 536
xvii
5. Фразеологические единицы негативной формы 	 page 536
6. Лексико-грамматическое значение фразеологических единиц 	 page 538
6.1. ФЕ с глагольным значением 	 page 539
6.2. Именные фЕ 	 page 544
6.3. Наречно-обстоятельственные ФЕ 	 page 547
6.4. Компаративные ФЕ 	 page 551
6.5. ФЕ предикативно-коммуникативного типа 	 page 553
6.5.1. Глагольные ФЕ, идентичные по своей структуре двусоставным нераспространенным предложениям. 	 page 553
6.5.2. Двучленные ФЕ предикативной формы в роли грамматического предиката 	 page 553
6.5.3. Двучленные ФЕ предикативной формы в функции одной из частей сложного предложения 	 page 554
6.5.4. Многочленные ФЕ предикативной формы 	 page 554
6.5.5. Многочленные ФЕ в функции придаточной части сложной синтаксической структуры, сходной по своей компонентной организации со сложноподчиненным предложением 	 page 554
6.5.6. Многокомпонентные ФЕ, образовавшиеся способом сочинения 	 page 554
II. ФРАЗЕОЛОГИЧЕСКИЙ СЛОВАРЬ 	 page 555
III. ФРАЗЕОЛОГИЯ: КУЛЬТУРОЛОГИЧЕСКИЕ АСПЕКТЫ 	 page 581
Глава третья. ДИАЛЕКТОЛОГИЯ 	 page 587
I. ВВЕДЕНИЕ 	 page 587
1. Предварительные замечания 	 page 587
2. К ИСТОРИИ ВОЗНИКНОВЕНИЯ КАБАРДИНО-ЧЕРКЕССКИХ ДИАЛЕКТОВ И ГОВОРОВ 	 page 587
